0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /layout/south.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /menuAction!treeRecursive.action?id=7bb7268b-9a24-40e0-50b9-b177d87227c1 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /menuAction!treeRecursive.action?id=c32570e8-9bc0-0887-4f69-7b5128e2a331 HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /menuAction!treeRecursive.action?id=7924309f-f1c8-4618-39ff-463df09a3a18 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /menuAction!treeRecursive.action?id=091c9088-c4fa-ab2d-7f80-d1310b03ed01 HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /menuAction!treeRecursive.action?id=f6507ed3-0fba-4c30-0955-0cdbf1045df8 HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /menuAction!treeRecursive.action?id=sjkgl HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /menuAction!treeRecursive.action?id=5159762c-a7f6-e59d-70e5-bd999c98952d HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /menuAction!treeRecursive.action?id=94cc37b7-aef5-4333-049f-8adef2b0ccf3 HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /menuAction!treeRecursive.action?id=xtgl HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:12 +0800] "GET /saleAction!goSale.action HTTP/1.1" 200 13398
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:12 +0800] "POST /customerAction!combox.action HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:12 +0800] "POST /accounterAction!combox.action HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:12 +0800] "POST /userAction!combox.action HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:14 +0800] "POST /saleAction!datagrid.action HTTP/1.1" 200 3770
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:14 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:14 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:14 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
